Company Name,Industry,Symbol,Series,ISIN Code
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Firstsource Solutions Ltd.,Information Technology,FSL,EQ,INE684F01012
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
Mastek Ltd.,Information Technology,MASTEK,EQ,INE759A01021
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01013
Route Mobile Ltd.,Telecommunication,ROUTE,EQ,INE450U01017
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Sterlite Technologies Ltd.,Telecommunication,STLTECH,EQ,INE089C01029
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
