Company Name,Industry,Symbol,Series,ISIN Code
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01013
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
